epoch,train_loss,val_loss,val_r2_log10,lr,sec,val_r2_a1,val_r2_a10,val_r2_a100
1,0.31310135335593986,0.28252209180352317,0.2161157727241516,0.0002,130.65072202682495,0.029114460572600365,0.24989087879657745,0.38534340262413025
2,0.2843755393356517,0.2734521197618088,0.24321246147155762,0.0004,128.27117490768433,0.03835014998912811,0.2787209153175354,0.4290187656879425
3,0.27779300981673644,0.2691638061421455,0.2548529803752899,0.0006,121.47414803504944,0.03324900195002556,0.2929925322532654,0.4521435797214508
4,0.27372549699916354,0.2717996117352061,0.25219669938087463,0.0008,128.840430021286,0.03440675511956215,0.29110148549079895,0.44693782925605774
5,0.27203155320839606,0.2664825156589464,0.2743438482284546,0.001,123.49764394760132,0.04499855265021324,0.3147032558917999,0.4834716320037842
6,0.2706958034980124,0.26168229194045756,0.28250810503959656,0.0009045084971874737,125.88110208511353,0.04394202306866646,0.31838324666023254,0.5052064657211304
7,0.26772370817868607,0.26507414610399677,0.28106576204299927,0.0006545084971874737,122.17783617973328,0.035206928849220276,0.31650885939598083,0.5104755163192749
8,0.26347911702334015,0.2569365169788372,0.2909741699695587,0.00034549150281252633,120.87148189544678,0.04385334625840187,0.3262118697166443,0.5225117206573486
9,0.2592160671841407,0.25275506277304854,0.3066078722476959,9.549150281252633e-05,125.36553812026978,0.05654411390423775,0.3424454629421234,0.541524350643158
10,0.2576229514635128,0.25173671664185604,0.30746951699256897,0.0,147.38348007202148,0.05640670284628868,0.3422723710536957,0.5442030429840088
