epoch,train_loss,val_loss,val_r2_log10,lr,sec,val_r2_a1,val_r2_a10,val_r2_a100
1,0.31288730488091276,0.28175741993967507,0.22169142961502075,0.0002,119.75083184242249,0.03618030622601509,0.2525363266468048,0.39003312587738037
2,0.28275574157419414,0.27393323941037834,0.23348426818847656,0.0004,121.42865109443665,0.025828039273619652,0.26891618967056274,0.4157646894454956
3,0.27719678824794464,0.26911788670658376,0.2598796486854553,0.0006,118.96065592765808,0.04622828960418701,0.2984687089920044,0.44984450936317444
4,0.27351342461247374,0.26803891610547986,0.2578321397304535,0.0008,122.11950278282166,0.03442113474011421,0.2915738523006439,0.4614403545856476
5,0.27181050160872766,0.2644607515176597,0.2660188376903534,0.001,123.86437702178955,0.029406487941741943,0.30020344257354736,0.48527613282203674
6,0.2714449030873568,0.2648502918164854,0.26566454768180847,0.0009987820251299122,120.51196694374084,0.03491375222802162,0.30336248874664307,0.473634272813797
7,0.2692107822260131,0.26556643886717757,0.26330137252807617,0.0009951340343707852,122.79259490966797,0.03959910199046135,0.29332974553108215,0.47521623969078064
8,0.2688919850881549,0.2622580431789332,0.2656504213809967,0.0009890738003669028,117.50525712966919,0.01956930197775364,0.2991810739040375,0.4959127902984619
9,0.2677822660492814,0.26138840159239796,0.2844695746898651,0.0009806308479691594,118.21897673606873,0.04823612794280052,0.3172243535518646,0.5060018301010132
10,0.26630908184941265,0.26214602761875,0.2844514548778534,0.0009698463103929542,117.96292805671692,0.04518641531467438,0.32312873005867004,0.5068871974945068
11,0.26665752898307815,0.2611329067993715,0.2883659899234772,0.0009567727288213005,120.93635773658752,0.047249335795640945,0.3266938626766205,0.5097745060920715
12,0.26629236290852226,0.2594369308796921,0.2867637872695923,0.0009414737964294635,118.86179113388062,0.0459972620010376,0.32407698035240173,0.511159360408783
13,0.265549584262181,0.26050013889467094,0.27831578254699707,0.0009240240480782129,120.66265797615051,0.044625964015722275,0.31118956208229065,0.4970467984676361
