epoch,train_loss,val_loss,val_r2_log10,lr,sec
1,0.3379436638692151,0.3427771488366099,0.027888178825378418,0.0002,149.37485003471375
2,0.3232295700929303,0.34385412655813846,0.04092532768845558,0.0004,121.33128690719604
3,0.31917404642571573,0.33917559037318806,0.040887895971536636,0.0006,112.0934329032898
4,0.31573111562841183,0.33377288910694897,0.06664599478244781,0.0008,110.33196902275085
5,0.3133552255189937,0.33556565452862336,0.057355914264917374,0.001,115.22548985481262
6,0.3114365193614925,0.329944909307998,0.06793855130672455,0.0009987820251299122,117.2998559474945
7,0.3087050960439703,0.33257905958015793,0.06644098460674286,0.0009951340343707852,108.8530056476593
8,0.30701418415359827,0.3277720380036128,0.08286019414663315,0.0009890738003669028,115.05665802955627
9,0.3060363902885845,0.3281619190480668,0.07522594183683395,0.0009806308479691594,108.00744724273682
10,0.30445202936728794,0.3266853214688384,0.08369866758584976,0.0009698463103929542,109.39069676399231
11,0.30379870229441186,0.324945057747681,0.08541399985551834,0.0009567727288213005,109.89137005805969
12,0.30322454407595206,0.3343385638873701,0.07360977679491043,0.0009414737964294635,108.55383586883545
13,0.30171861974657443,0.3211774810545706,0.0995299220085144,0.0009240240480782129,108.35178804397583
14,0.30122949674293614,0.32245744497789813,0.08202729374170303,0.0009045084971874737,108.96569585800171
15,0.3000839391048404,0.32185448456361804,0.09771005064249039,0.000883022221559489,108.4187228679657
16,0.2998472107061441,0.3189255157647105,0.11485222727060318,0.0008596699001693256,109.39486598968506
17,0.2986426295577616,0.3211510126301319,0.09798403829336166,0.0008345653031794292,111.97845005989075
18,0.29871751652031703,0.3197862912464693,0.10688891261816025,0.0008078307376628292,111.42263913154602
19,0.29820891250518783,0.3198330452331918,0.09857817739248276,0.0007795964517353734,111.78319692611694
20,0.2979224334916343,0.31745042053261247,0.11222543567419052,0.00075,110.61886692047119
21,0.2973808877386045,0.31799684697492964,0.11231667548418045,0.0007191855733945387,1011.3152761459351
22,0.2969564477602641,0.3174537008552882,0.11487636715173721,0.0006873032967079561,117.02426791191101
23,0.296692074738119,0.3164733048808368,0.10846757888793945,0.0006545084971874737,110.51277780532837
24,0.29631546046854795,0.31858282040998426,0.10776535421609879,0.0006209609477998338,109.22789096832275
25,0.2957350343897723,0.3166523799730863,0.11163431406021118,0.0005868240888334653,109.1620659828186
26,0.2953348274032275,0.3168429523878704,0.11124143749475479,0.0005522642316338268,114.51314091682434
27,0.2951001804268015,0.3155904434664401,0.1202222928404808,0.0005174497483512506,114.02333402633667
28,0.2945201690322247,0.31689020750150515,0.11271975189447403,0.0004825502516487497,110.5293800830841
29,0.29393580780513046,0.3157859930413307,0.11541324853897095,0.00044773576836617336,108.2439239025116
30,0.2938090974330038,0.3170243544730148,0.11817434430122375,0.00041317591116653486,110.8164472579956
31,0.29292271173950557,0.3155495848269821,0.11589451879262924,0.0003790390522001662,108.69144916534424
32,0.29338886021919874,0.31625686387795243,0.12294825166463852,0.00034549150281252633,111.33473992347717
33,0.29209541734577954,0.31412893361438904,0.1235041618347168,0.00031269670329204396,108.75653195381165
34,0.2919355128338372,0.3128967221417179,0.12327560037374496,0.00028081442660546124,112.76736783981323
35,0.29167857546953185,0.3132222821946778,0.11988666653633118,0.0002500000000000001,114.1419289112091
36,0.29163266710829044,0.31461475660346144,0.12201442569494247,0.00022040354826462666,108.97624135017395
37,0.2903872953592867,0.313283143188223,0.12080094963312149,0.00019216926233717085,110.31698513031006
38,0.29039431042645286,0.3119913828855305,0.13027018308639526,0.00016543469682057105,109.58941388130188
39,0.2901891156167224,0.31236930269037366,0.12379332631826401,0.00014033009983067452,110.71250820159912
40,0.29009182409963746,0.3118857448500705,0.12587864696979523,0.00011697777844051105,112.38143682479858
41,0.289163768744987,0.31333416321374086,0.12678009271621704,9.549150281252633e-05,109.23548078536987
42,0.2890609442971755,0.3120106541352465,0.12145423144102097,7.597595192178702e-05,109.63928294181824
43,0.288715800491796,0.3119380463754511,0.12287956476211548,5.852620357053651e-05,109.20874214172363
44,0.2888404762723308,0.31205637796076735,0.12636162340641022,4.322727117869951e-05,108.90542793273926
45,0.28854921816483786,0.3118069776565353,0.12453087419271469,3.0153689607045842e-05,109.84174585342407
46,0.28833001761332805,0.3120694616970988,0.12577281892299652,1.9369152030840554e-05,109.28637313842773
47,0.2880302023088587,0.3118811914686523,0.12726463377475739,1.0926199633097156e-05,110.69742393493652
48,0.2877613835144734,0.31189197043462985,0.12472360581159592,4.865965629214819e-06,107.01101994514465
49,0.28840902662579565,0.31166577046317173,0.1277650147676468,1.2179748700879012e-06,107.95079922676086
50,0.28811072941491567,0.31169482669389315,0.1270950585603714,0.0,114.39762997627258
