epoch,train_loss,val_loss,val_r2_log10,lr,sec
1,0.36463828106289325,0.35399188747295757,-0.0007039805059321225,0.0002,969.9424540996552
2,0.3376888639253119,0.3400990987099664,0.03908071294426918,0.0004,1005.8264591693878
3,0.3223009521978489,0.32480286948942727,0.12138482183218002,0.0006,1002.0067703723907
4,0.30860874723049175,0.3066170634217345,0.14204753935337067,0.0008,1038.2533588409424
5,0.2931588094303573,0.2898328862438312,0.20090849697589874,0.001,1018.1103520393372
6,0.2791374829368315,0.2682048610352367,0.2585783898830414,0.0009045084971874737,1026.6923661231995
7,0.2651439859815266,0.2562098227484378,0.2924996614456177,0.0006545084971874737,1003.6920609474182
8,0.25234333070507947,0.24232993029445582,0.34644997119903564,0.00034549150281252633,998.5551817417145
9,0.2402822904288769,0.22892216313092006,0.36881840229034424,9.549150281252633e-05,981.3488621711731
10,0.232153615096341,0.2256670326339027,0.3783237040042877,0.0,989.3711128234863
