epoch,train_loss,val_loss,val_r2_log10,lr,sec
1,0.3620545255965081,0.34597334627471216,0.021522363647818565,0.0002,3111.188004255295
2,0.3224293194063332,0.2951519493595024,0.16819338500499725,0.0004,1936.0492720603943
3,0.2915718279994916,0.2874441193362881,0.20985078811645508,0.0006,884.2550530433655
4,0.2853295695522557,0.2820089797925398,0.22730229794979095,0.0008,889.8767080307007
5,0.2823234275091385,0.2753701220358038,0.24012677371501923,0.001,888.5746421813965
6,0.27974877046502156,0.27463716871476584,0.24035681784152985,0.0009987820251299122,4999.016699790955
7,0.2776315149945625,0.27150251100518114,0.2561916410923004,0.0009951340343707852,946.2948038578033
8,0.27520046292439754,0.2715405655561844,0.2623412609100342,0.0009890738003669028,956.807755947113
9,0.27209987825025683,0.27117373169846615,0.2560743987560272,0.0009806308479691594,963.9176089763641
10,0.2699920258876206,0.2669140575938142,0.2713467478752136,0.0009698463103929542,960.5180108547211
11,0.2690829108806624,0.26408609937381194,0.2810814380645752,0.0009567727288213005,949.1550669670105
12,0.2679040007401204,0.2670142490395232,0.2582980990409851,0.0009414737964294635,944.3386080265045
13,0.2671871470152468,0.2634112442159928,0.27800559997558594,0.0009240240480782129,951.5274686813354
14,0.2664263872348744,0.2636049148664309,0.27975377440452576,0.0009045084971874737,953.9941391944885
15,0.26603387491642566,0.26565175016835935,0.2595643699169159,0.000883022221559489,939.0493822097778
16,0.26481108267022213,0.2643645681397763,0.28195303678512573,0.0008596699001693256,945.9900379180908
17,0.2645592627965886,0.2628201074855176,0.27899399399757385,0.0008345653031794292,949.5172159671783
18,0.2637976116136364,0.2612028764506985,0.2784439027309418,0.0008078307376628292,951.4929668903351
19,0.2630405460038911,0.2604596377108138,0.2883225679397583,0.0007795964517353734,957.2045021057129
20,0.26246292315747427,0.2616969193681816,0.278268426656723,0.00075,984.4610238075256
21,0.2619752165092074,0.2582902774817682,0.2933661639690399,0.0007191855733945387,992.8076860904694
22,0.2615505063123461,0.2582414034818638,0.2965128719806671,0.0006873032967079561,1194.6625859737396
23,0.26102254057060115,0.25749609339443935,0.29270195960998535,0.0006545084971874737,963.6904909610748
24,0.2602925249415895,0.2563510196918697,0.2875697910785675,0.0006209609477998338,967.6049880981445
25,0.25961756437369016,0.2574180715173655,0.2847149670124054,0.0005868240888334653,951.1937799453735
26,0.25886472061924315,0.25664478652394573,0.29619133472442627,0.0005522642316338268,940.2069902420044
27,0.25781531229183297,0.25398106425139255,0.30595895648002625,0.0005174497483512506,951.2617621421814
28,0.25712475545596386,0.25495198834149135,0.2991804778575897,0.0004825502516487497,956.683089017868
29,0.25749340414784955,0.25520766013964064,0.299557089805603,0.00044773576836617336,954.0948629379272
30,0.25640574569503466,0.2559538321687996,0.2978207468986511,0.00041317591116653486,951.3098759651184
31,0.256752459694078,0.25318695225812105,0.3034653961658478,0.0003790390522001662,984.091570854187
32,0.2559514907175216,0.25236289194553574,0.30439677834510803,0.00034549150281252633,985.3520576953888
33,0.25550980177046595,0.2520736732407112,0.3139369487762451,0.00031269670329204396,986.7401206493378
34,0.2553368180450322,0.2533860550278184,0.3094770312309265,0.00028081442660546124,1007.7036092281342
35,0.2546383535192496,0.2519748293595507,0.307054728269577,0.0002500000000000001,973.4531471729279
36,0.2541051089115765,0.2508751233189092,0.3099183738231659,0.00022040354826462666,972.5043399333954
37,0.2544539056070473,0.25177553330542723,0.31130850315093994,0.00019216926233717085,992.7789907455444
38,0.25332257115970486,0.25069998049667114,0.31487375497817993,0.00016543469682057105,971.9402351379395
39,0.2533744142755218,0.2501207706383887,0.31373313069343567,0.00014033009983067452,955.4208829402924
40,0.25239283032175425,0.2503734489396817,0.3090084493160248,0.00011697777844051105,948.9160118103027
41,0.2518629205615624,0.2495767956524226,0.31603559851646423,9.549150281252633e-05,947.2146921157837
42,0.25233279450432117,0.24968718491882258,0.3188057243824005,7.597595192178702e-05,953.1850328445435
43,0.2513563070392263,0.24912448485807187,0.3180650770664215,5.852620357053651e-05,951.4546000957489
44,0.25179140636886377,0.2487985204926805,0.31610172986984253,4.322727117869951e-05,1012.6656861305237
45,0.2511388304872789,0.24901979420915504,0.3178395628929138,3.0153689607045842e-05,996.9881200790405
46,0.25152042618264325,0.2484883870175808,0.3190203011035919,1.9369152030840554e-05,976.869549036026
47,0.250792325547208,0.24867066318933675,0.3193165957927704,1.0926199633097156e-05,974.9980442523956
48,0.2510456714293231,0.24834149524655647,0.31890472769737244,4.865965629214819e-06,950.2587878704071
49,0.2508795605729455,0.24843042701310505,0.31858155131340027,1.2179748700879012e-06,948.1663632392883
50,0.25100767176220384,0.24836737727154198,0.31935635209083557,0.0,945.0795707702637
