epoch,train_loss,val_loss,val_r2_log10,lr,sec,val_r2_a1,val_r2_a10,val_r2_a100
1,0.3592308653221614,0.3472794594103201,0.01265313196927309,0.0002,1014.8002188205719,-0.048174064606428146,0.01996230147778988,0.07411246001720428
2,0.3253625630468562,0.3326887950042769,0.06710629910230637,0.0004,1015.8127949237823,-0.03294096887111664,0.08788769692182541,0.16182385385036469
3,0.3059482891490494,0.31269764951887846,0.1303957849740982,0.0006,1003.1150441169739,-0.010540167801082134,0.14567804336547852,0.27379465103149414
4,0.2992572476142559,0.313733610286878,0.13932299613952637,0.0008,1008.2113389968872,0.0012505898484960198,0.16322451829910278,0.2676583230495453
5,0.296030402507471,0.3066758671936961,0.14610068500041962,0.001,1019.512729883194,0.0021918166894465685,0.1634116917848587,0.2874608337879181
6,0.2933149583961653,0.30778276834184726,0.14712785184383392,0.0009045084971874737,1017.9249379634857,0.006293261889368296,0.16633407771587372,0.2879890501499176
7,0.28951018139504003,0.3013492705505018,0.16109926998615265,0.0006545084971874737,1005.6081631183624,0.010251094587147236,0.182524636387825,0.3029286563396454
8,0.2847339661872905,0.2974314829173116,0.16484950482845306,0.00034549150281252633,1007.8275189399719,0.010079513303935528,0.18448977172374725,0.31544676423072815
9,0.28082687244683074,0.29317748314038866,0.1869240403175354,9.549150281252633e-05,999.5739200115204,0.02651306428015232,0.2084091156721115,0.342855840921402
10,0.27936387341739477,0.29312815633467854,0.18098856508731842,0.0,997.5780549049377,0.020664652809500694,0.20134896039962769,0.337985634803772
