keep_fraction,overall_rmse,rmse_increase_vs_full
1.0,0.02421610802412033,0.0
0.75,0.04338142275810242,0.019165314733982086
0.5,0.05395132675766945,0.029735218733549118
0.25,0.0662173330783844,0.04200122505426407
