epoch,train_loss,val_loss,val_r2_log10,lr,sec
1,0.36463828106289325,0.35399188747295757,-0.0007039805059321225,0.0002,955.0085060596466
2,0.3376888639253119,0.3400990987099664,0.03908071294426918,0.0004,986.7754056453705
3,0.3223009521978489,0.32480286948942727,0.12138482183218002,0.0006,992.2997200489044
4,0.30860874723049175,0.3066170634217345,0.14204753935337067,0.0008,991.269122838974
5,0.2931588094303573,0.2898328862438312,0.20090849697589874,0.001,983.7624509334564
6,0.2791374829368315,0.2682048610352367,0.2585783898830414,0.0009045084971874737,981.7962863445282
7,0.2651439859815266,0.2562098227484378,0.2924996614456177,0.0006545084971874737,985.8568360805511
8,0.25234333070507947,0.24232993029445582,0.34644997119903564,0.00034549150281252633,988.0731341838837
9,0.2402822904288769,0.22892216313092006,0.36881840229034424,9.549150281252633e-05,979.9590320587158
10,0.232153615096341,0.2256670326339027,0.3783237040042877,0.0,987.6904158592224
