epoch,train_loss,val_loss,val_r2_log10,lr,sec,val_r2_a1,val_r2_a10,val_r2_a100
1,0.3621521591492321,0.34203356039317356,0.02734527550637722,0.0002,962.8322522640228,-0.03330095484852791,0.038882892578840256,0.08329635113477707
2,0.3127262949511625,0.2985273011330235,0.17294788360595703,0.0004,984.3469920158386,0.0181442741304636,0.19804610311985016,0.3205617368221283
3,0.2919593977863374,0.28498584574702157,0.21145541965961456,0.0006,1012.2005481719971,0.03630603849887848,0.23967047035694122,0.3734765946865082
4,0.28549275433887605,0.2798684730350627,0.21931107342243195,0.0008,1006.4826459884644,0.018807223066687584,0.25711458921432495,0.3988412320613861
5,0.2820026853270289,0.28192746828746246,0.21733920276165009,0.001,1004.8890459537506,0.01842156983911991,0.2463974952697754,0.40052473545074463
6,0.2791888217779173,0.27448117526280397,0.23880602419376373,0.0009987820251299122,999.2727551460266,0.019744351506233215,0.274957537651062,0.4441401958465576
7,0.27386995211675547,0.2704003489430929,0.25642529129981995,0.0009951340343707852,1002.696989774704,0.030645674094557762,0.3009326756000519,0.4560380280017853
8,0.2715182827218719,0.26725612210400534,0.2730047404766083,0.0009890738003669028,999.2710211277008,0.04114897921681404,0.3119916617870331,0.4853847324848175
9,0.2690325833533121,0.2726459166390358,0.24998021125793457,0.0009806308479691594,998.8470740318298,0.03679509460926056,0.2892659604549408,0.43987929821014404
10,0.26861956525540004,0.2649768649498162,0.26098525524139404,0.0009698463103929542,997.5667309761047,0.04040038585662842,0.29456421732902527,0.4694554805755615
11,0.2667537255779557,0.2633424384917827,0.27496233582496643,0.0009567727288213005,997.5400178432465,0.04670167341828346,0.3087352216243744,0.489184707403183
12,0.26569051172422326,0.26106766581190805,0.2830667793750763,0.0009414737964294635,992.6904261112213,0.040414970368146896,0.3235742747783661,0.5080541372299194
13,0.2653748877670454,0.26197997855313254,0.28143468499183655,0.0009240240480782129,989.8918881416321,0.040337976068258286,0.3212098181247711,0.501919686794281
14,0.2650251948747082,0.26493011432231506,0.27214905619621277,0.0009045084971874737,985.1857888698578,0.045900583267211914,0.30738356709480286,0.4877835214138031
15,0.2635840628134168,0.2628752255026316,0.2787967026233673,0.000883022221559489,987.9020538330078,0.046826865524053574,0.31473320722579956,0.4986410140991211
16,0.2638428680922674,0.2590429560642022,0.28682947158813477,0.0008596699001693256,983.4137878417969,0.04822084680199623,0.32196396589279175,0.513690173625946
17,0.262457631053268,0.2604066291985484,0.27854976058006287,0.0008345653031794292,980.4837808609009,0.0417705662548542,0.3164422810077667,0.496567964553833
18,0.26248370515911473,0.25933176408268815,0.28407952189445496,0.0008078307376628292,992.1051499843597,0.040984924882650375,0.3212369680404663,0.5117924809455872
19,0.2618379269389139,0.2589938159106095,0.2919830083847046,0.0007795964517353734,984.5430152416229,0.04932836815714836,0.32840171456336975,0.5213891863822937
20,0.2614268097648586,0.2633409761969065,0.2732907235622406,0.00075,983.8598520755768,0.03860117122530937,0.30755066871643066,0.4935295581817627
21,0.261427330063737,0.26009734138588,0.27390462160110474,0.0007191855733945387,985.3862216472626,0.02658691443502903,0.312223345041275,0.5057255625724792
22,0.26072493112389594,0.25865996667759955,0.28167590498924255,0.0006873032967079561,989.2504069805145,0.0383782722055912,0.31563472747802734,0.5150399208068848
23,0.260309253125519,0.258358651589107,0.29162970185279846,0.0006545084971874737,990.0695178508759,0.05209297314286232,0.32799118757247925,0.5180475115776062
24,0.2602749098038328,0.257382551714175,0.28982776403427124,0.0006209609477998338,990.3434331417084,0.051119208335876465,0.32591909170150757,0.5169546008110046
25,0.2593241215076136,0.25897638534190337,0.2910757064819336,0.0005868240888334653,988.342414855957,0.053256478160619736,0.3293299973011017,0.5119019746780396
26,0.2595743314727493,0.25797034274635977,0.293282687664032,0.0005522642316338268,989.4990208148956,0.05815146490931511,0.3295729458332062,0.5135875940322876
27,0.2581143143168394,0.25690646917489224,0.2884248197078705,0.0005174497483512506,1014.95964884758,0.04142223671078682,0.3261283338069916,0.520391047000885
28,0.258216168364321,0.2561175301240359,0.2967475354671478,0.0004825502516487497,990.951966047287,0.050673384219408035,0.3367255628108978,0.5251333117485046
29,0.2576364469808945,0.2561344861811985,0.2951471507549286,0.00044773576836617336,984.0521941184998,0.04625310003757477,0.33464279770851135,0.528107762336731
30,0.25718651463588077,0.2553239812740701,0.30080127716064453,0.00041317591116653486,983.6850008964539,0.06132422387599945,0.33869048953056335,0.5271613001823425
31,0.2575406980579314,0.25430271701316615,0.299392968416214,0.0003790390522001662,984.5517008304596,0.05153508111834526,0.33908066153526306,0.5331303477287292
32,0.2561744215371816,0.25561834673661027,0.2959573566913605,0.00034549150281252633,996.7516651153564,0.05512821674346924,0.33114683628082275,0.5274343490600586
33,0.25612370538106866,0.25365079362268395,0.3072589337825775,0.00031269670329204396,990.1667490005493,0.0641782358288765,0.34370243549346924,0.53619384765625
34,0.25524416854200155,0.25257002523524225,0.3056989312171936,0.00028081442660546124,1017.901239156723,0.05648422613739967,0.34356987476348877,0.5427781939506531
35,0.2552950253305228,0.2527087661572274,0.3038197159767151,0.0002500000000000001,1006.3952760696411,0.05559222400188446,0.3413424491882324,0.5381693840026855
36,0.254716662209535,0.2519987758701247,0.3094010055065155,0.00022040354826462666,944.6892211437225,0.061535779386758804,0.3481769263744354,0.5442715883255005
37,0.25387677252292634,0.25257805437710934,0.31005069613456726,0.00019216926233717085,970.3997700214386,0.061741236597299576,0.3498910665512085,0.544256329536438
38,0.25390727525387985,0.25146445123791006,0.3070007860660553,0.00016543469682057105,967.1055879592896,0.05665680393576622,0.3437354862689972,0.5467492938041687
39,0.25381194716994315,0.2516679762071268,0.30455315113067627,0.00014033009983067452,973.3722460269928,0.05165034905076027,0.3432231843471527,0.5458354353904724
40,0.25351171393109406,0.2508812688850943,0.31146469712257385,0.00011697777844051105,981.172593832016,0.059080589562654495,0.349971741437912,0.5510908961296082
41,0.25252364634171776,0.25101805422347406,0.3077208995819092,9.549150281252633e-05,993.2997236251831,0.058905228972435,0.34455856680870056,0.5460720658302307
42,0.2526901585792286,0.25066861579183897,0.31319472193717957,7.597595192178702e-05,980.4858088493347,0.06385628879070282,0.35275527834892273,0.5499422550201416
43,0.2530175077094548,0.25067937606676466,0.310539573431015,5.852620357053651e-05,1038.902351140976,0.059785593301057816,0.34915414452552795,0.5508293509483337
44,0.2519256668030352,0.2502607828103049,0.3116351068019867,4.322727117869951e-05,1006.3157570362091,0.058164700865745544,0.35037875175476074,0.5532269477844238
45,0.2519887505342131,0.2502480958066235,0.30986469984054565,3.0153689607045842e-05,1063.039171218872,0.05637504160404205,0.3483247756958008,0.5514295697212219
46,0.25176134523058286,0.25003490291234387,0.31171080470085144,1.9369152030840554e-05,1038.1161289215088,0.05910057947039604,0.3505465090274811,0.5530292391777039
47,0.2515015678453273,0.2498002395981309,0.3115280866622925,1.0926199633097156e-05,1006.7343838214874,0.06009097769856453,0.3498276174068451,0.5519072413444519
