epoch,train_loss,val_loss,val_r2_log10,lr,sec,val_r2_a1,val_r2_a10,val_r2_a100
1,0.37376376826694047,0.35861200163130125,-0.0182497501373291,0.0002,1654.8009598255157,-0.046508997678756714,-0.008063167333602905,0.0024781476240605116
2,0.3616105269910633,0.34778806033162024,0.01144146453589201,0.0004,1737.224573135376,-0.027830639854073524,0.024360164999961853,0.04371478781104088
3,0.3562857818344365,0.3353464672331176,0.04715486243367195,0.0006,1658.2519102096558,-0.016139959916472435,0.06321300566196442,0.10195964574813843
4,0.35232133457194204,0.33729626557041453,0.040879081934690475,0.0008,1688.5621800422668,-0.0203681830316782,0.05672774836421013,0.09356073290109634
5,0.3506379066818002,0.3299195216914822,0.0668129250407219,0.001,1666.1414458751678,-0.008632917888462543,0.08514556288719177,0.1334000676870346
6,0.34831727799298107,0.3196475631584322,0.09766928106546402,0.0009987820251299122,1702.2888100147247,0.004143660422414541,0.11957591772079468,0.17918945848941803
7,0.34582107781931976,0.3279570866526896,0.07839005440473557,0.0009951340343707852,1675.4132549762726,0.0071211508475244045,0.09915181249380112,0.13542746007442474
8,0.34492477787577586,0.3293787842196536,0.07020191103219986,0.0009890738003669028,1731.8658390045166,-0.0036986221093684435,0.09201528877019882,0.12909258902072906
9,0.34424720350382987,0.3231180780540312,0.09036797285079956,0.0009806308479691594,1662.1883919239044,-0.002402007579803467,0.11405766755342484,0.16745811700820923
10,0.3433088975324147,0.3217905842499926,0.09017214924097061,0.0009698463103929542,1848.5200772285461,0.00595344603061676,0.11441216617822647,0.1582578420639038
11,0.3433924319735472,0.3242735321811169,0.0823972299695015,0.0009567727288213005,1739.5905060768127,-0.002845739247277379,0.10754575580358505,0.14989136159420013
12,0.34282484484323555,0.324590692630393,0.09048385173082352,0.0009414737964294635,1838.18811917305,0.00560237979516387,0.11382041126489639,0.1602647453546524
13,0.3423807519501534,0.31393291495438946,0.11148882657289505,0.0009240240480782129,1686.2095439434052,0.013141359202563763,0.13320229947566986,0.19948329031467438
14,0.34212970645099444,0.32229071855545044,0.08883234113454819,0.0009045084971874737,1764.0948247909546,0.0067788162268698215,0.1122485026717186,0.15579693019390106
15,0.34204992271851803,0.32192418427136593,0.0921039804816246,0.000883022221559489,1653.9270536899567,0.0008714646100997925,0.1157979741692543,0.16751599311828613
16,0.34135072896446006,0.3258515667019552,0.08260931819677353,0.0008596699001693256,1660.693874835968,0.006199583411216736,0.10260840505361557,0.14788632094860077
17,0.34127934294334356,0.3219860502750198,0.09033503383398056,0.0008345653031794292,1632.8350327014923,0.0024700115900486708,0.1166527047753334,0.16131553053855896
18,0.34102257360582766,0.32577306032180786,0.08534572273492813,0.0008078307376628292,1671.5597910881042,0.003142431378364563,0.11046921461820602,0.15222927927970886
19,0.34084790843552437,0.3227454920035566,0.09256110340356827,0.0007795964517353734,1624.565104007721,0.005078494548797607,0.1137690544128418,0.16703040897846222
20,0.34093303233385086,0.3238747951956843,0.08665865659713745,0.00075,1733.5107939243317,-0.007473558187484741,0.111540287733078,0.16297465562820435
21,0.3403810266999231,0.3296589462054258,0.07478932291269302,0.0007191855733945387,1644.6631081104279,0.0006899337167851627,0.0931025817990303,0.13882018625736237
22,0.3406225174449492,0.3194751794627636,0.10578113049268723,0.0006873032967079561,1790.8463180065155,0.007352834101766348,0.1288597136735916,0.19083641469478607
23,0.3401948539459187,0.3172223033932592,0.11347232013940811,0.0006545084971874737,1631.1511421203613,0.015460695140063763,0.13805736601352692,0.19577594101428986
24,0.33980058189751444,0.31421669542444924,0.11966726928949356,0.0006209609477998338,1809.979723930359,0.023786723613739014,0.14260733127593994,0.20193903148174286
25,0.33992346214211505,0.31934073670751095,0.10068020969629288,0.0005868240888334653,1632.6725401878357,0.00480140745639801,0.12320486456155777,0.18315155804157257
26,0.33979167145663414,0.3146949553420778,0.11704394966363907,0.0005522642316338268,1727.0304729938507,0.018257424235343933,0.1437915861606598,0.19890646636486053
27,0.33960427229387175,0.31659402943759984,0.10432558506727219,0.0005174497483512506,1632.0051510334015,0.006642525549978018,0.1264849752187729,0.18990395963191986
28,0.3393741937003274,0.3176240104471328,0.11098072677850723,0.0004825502516487497,2542.7157802581787,0.01563394069671631,0.13481579720973969,0.19250325858592987
29,0.3392804345574932,0.31802850220933815,0.10704269260168076,0.00044773576836617336,1648.6763291358948,0.011954501271247864,0.13783466815948486,0.17913639545440674
